incident_id,country,civil_society_risk_level,civil_society_notes,self_custody_status,p2p_status,legal_status,kyc_aml_required,regulatory_classification,vasp_licensing,tax_treatment,key_legislation,enforcement_notes,region,last_updated,sources
SI-015,Botswana,Low,"Botswana enacted one of Africa's earliest and most structured VASP frameworks in February 2022. The Virtual Assets Act has extraterritorial reach covering foreign platforms serving Botswana residents. No documented incidents of financial repression targeting civil society through crypto mechanisms. The framework is investor and consumer protection focused rather than politically directed. Lower civil society risk environment.","Legal; no specific restrictions on self-custody","Legal; individual P2P trading legal; exchange-based services require NBFIRA licence","Legal - regulated","Yes - AML/CFT obligations; customer due diligence; transaction monitoring; audited financial statements annually","Virtual Assets Act 2022 (effective February 25 2022) - one of the earliest VASP frameworks in Africa; Non-Bank Financial Institutions Regulatory Authority (NBFIRA) oversees licensing; extraterritorial jurisdiction covers foreign VASPs serving Botswana residents","Required - NBFIRA licence; fit and proper requirements; financial adequacy requirements; white paper publication required","No specific crypto tax framework documented; general tax principles apply","Virtual Assets Act 2022 (effective February 25 2022); NBFIRA licensing framework","One of Africa's most established VASP frameworks. NBFIRA regulatory authority operational.","Southern Africa","2026-06","https://bojosilaw.co.bw/regulation-of-virtual-assets-cryptocurrency-in-botswana/"
SI-017,Central African Republic,High,"CAR presents a unique and serious risk environment. Following its policy shift - where the nation adopted Bitcoin as legal tender in April 2022 before parliament reversed the decision in March 2023 - the governance landscape remains unstable. The Global Initiative Against Transnational Organized Crime documented that CAR's initial Bitcoin adoption was linked to criminal capture of state structures rather than genuine financial inclusion - crypto was adopted by actors seeking to evade sanctions and launder proceeds from conflict resources. While the legal tender status was subsequently reversed, the underlying governance environment remains deeply compromised. Civil society actors operating in CAR face risks not primarily from crypto regulation but from the general absence of rule of law and the documented instrumentalisation of financial systems by armed actors and their political allies.","Legal in practice; significant state capacity issues mean oversight is minimal","Legal in practice; P2P widespread; formal regulatory infrastructure absent","Legal grey zone - state capture risk","Weak or absent enforcement capacity","CAR adopted Bitcoin as legal tender in April 2022 (first African country to do so) alongside CBDC project; however parliament subsequently repealed and reversed the legal tender status in March 2023; CAR remains on FATF grey list; documented links between crypto regulation and criminal capture of state structures","No functional VASP licensing regime; legal tender status reversed March 2023","No functioning tax framework for crypto","Bitcoin legal tender status adopted April 2022 then repealed and reversed March 2023; no formal VASP framework; FATF grey list","Rule of law environment severely compromised. Documented links between crypto adoption and criminal state capture.","Central Africa","2026-06","https://globalinitiative.net/analysis/behind-the-blockchain-cryptocurrency-and-criminal-capture-in-the-central-african-republic/"
SI-007,Ethiopia,High,"Ethiopia explicitly prohibits digital currency use and tightened enforcement in March 2026 when the National Bank of Ethiopia issued a directive declaring Ethiopian Birr-denominated peer-to-peer cryptocurrency transactions illegal. Explicit prohibition combined with demonstrated willingness to weaponise financial infrastructure creates severe dual risk. The March 2026 Birr-specific P2P ban signals active enforcement intent.","Prohibited; self-custody of prohibited asset carries legal risk","Prohibited; P2P trading using Birr explicitly banned from March 2026","Prohibited with tightening enforcement","Prohibited","National Bank prohibition on digital currencies; March 2026 NBE banned all P2P trading using Ethiopian Birr specifically","No VASP licensing; prohibited","No tax framework; use prohibited","National Bank of Ethiopia prohibition directive; March 2026 P2P trading ban using Birr; no dedicated crypto legislation","Prohibition enforced through banking system. P2P ban using Birr introduced March 2026. Civil society financial repression severe.","East Africa","2026-06","https://www.mariblock.com/stories/ethiopia-clamps-down-on-birr-paired-p2p-transactions; https://www.zawya.com/en/economy/africa/a-cross-regional-guide-to-africas-crypto-regulations-hodnposr"
SI-004,Ghana,Low-Medium,"Ghana has no documented incidents of financial repression specifically targeting civil society through crypto mechanisms. The VASP Bill passed December 22 2025 ends the prior ban and legal grey zone. The law is passed but not yet in force as implementing regulations are developed. Registration requirements apply to platforms not individuals meaning P2P Bitcoin acquisition through non-custodial means remains lower-risk for civil society. Monitor as implementing regulations develop and the effective date approaches.","Legal; no specific restrictions on self-custody","Legal; individual P2P users not covered by VASP registration requirement; platforms must register","Legal - newly regulated","Yes - VASPs classified as accountable institutions; AML/CFT and reporting obligations","VASP Bill passed by Parliament December 2025; dual oversight by Bank of Ghana (payment-related activities) and Securities and Exchange Commission (investment activities); law passed but effective date not yet announced as of July 2026","Registration required immediately; full licensing framework to be announced; oversight split between Bank of Ghana and SEC by activity type","Taxable; specific rates being developed under implementing regulations","Virtual Asset Service Providers Bill (passed December 2025; effective date pending); Anti-Money Laundering Act 2020; AML Act (Act 749) 2008","Bank of Ghana and SEC committed to issuing implementing regulations and directives. Effective date to be announced.","West Africa","2026-07","https://www.mariblock.com/stories/ghana-passes-law-to-regulate-crypto-and-its-service-providers; https://bitcoinmagazine.com/news/ghana-legalizes-bitcoin-and-crypto-trading; https://www.trade.gov/market-intelligence/ghana-financial-services-new-virtual-assets-framework"
SI-003,Kenya,Medium,"Virtual Asset Service Providers Act (VASPA) 2025 brings all exchanges under KYC/AML obligations reducing anonymity for exchange-based acquisition. Binance has reportedly frozen numerous local P2P user accounts for 60 days or longer at the direct request of the DCI and National Police Service, leaving traders locked out without formal charges. For civil society, exchange-based Bitcoin acquisition now carries significant surveillance risk; P2P platforms outside the formal VASP definition remain a lower-surveillance alternative.","Legal; no specific restrictions on self-custody under current framework","Legal; P2P trading not explicitly regulated under VASP framework but Binance freezing P2P user accounts at law enforcement request from April 2026","Legal - regulated","Yes - AML/CFT provisions under VASPA 2025; KYC mandatory for all licensed VASPs","Virtual assets regulated under VASPA 2025; dual oversight by CBK (payment-related and stablecoins) and CMA (exchanges and trading); Binance reportedly freezing P2P accounts at request of DCI and National Police Service from April 2026","Required - dual licensing under CBK and CMA depending on activity type","Taxable; digital asset tax introduced then partially reversed; KRA enforcement increasing; gains treated as income","Virtual Asset Service Providers Act 2025 (signed October 2025); Proceeds of Crime and Anti-Money Laundering Act 2009","VASPA 2025 is Kenya's first comprehensive digital asset framework. Binance P2P account freezes at law enforcement request documented from April 2026.","East Africa","2026-06","https://www.ensafrica.com/news/detail/11076/kenyas-virtual-asset-service-providers-act-20; https://www.africanleadershipmagazine.co.uk/the-explainer-kenyas-crypto-asset-bill-and-what-it-means/; https://www.mfw4a.org/news/kenya-passes-landmark-law-regulate-booming-cryptocurrency-market"
SI-018,Mauritius,Low,"Mauritius has the most developed crypto regulatory framework in Sub-Saharan Africa and positions itself as a regional hub for compliant digital asset businesses. No documented incidents of financial repression targeting civil society through crypto mechanisms. Robust rule of law and clear tax perks (including VASP income tax exemptions) create a highly stable operational environment.","Legal; no specific restrictions on self-custody","Legal; P2P trading legal; regulated exchanges required","Legal - regulated (regional hub model)","Yes - comprehensive AML/CFT; FATF Travel Rule; KYC mandatory","One of Africa's most advanced crypto regulatory frameworks; VASP framework under Financial Services Commission (FSC); positioned as regional crypto hub; robust AML/CFT and investor protection framework","Required - FSC VASP licence; multiple licence categories including custodian, exchange, and advisory","Capital gains tax treatment; crypto income taxable; specific framework established","Virtual Asset and Initial Token Offering Services (VAITOS) Act 2021; Securities Act 2005","FSC actively enforces compliance across 5 specific license categories (M, O, R, I, S) with stringent minimum capital requirements. Enhanced AML/CFT obligations in effect from March 2025.","East Africa (Indian Ocean)","2026-07","https://www.fscmauritius.org/media/119930/faqs-vaitos-act-2021.pdf; https://charltonsquantum.com/mauritius-virtual-assets-regulation/"
SI-014,Namibia,Low-Medium,"Namibia enacted one of the earliest VASP frameworks in Sub-Saharan Africa. The Virtual Assets Act 2022 recognises crypto assets and establishes a licensing regime. No documented incidents of financial repression targeting civil society through crypto mechanisms. The central bank acknowledges virtual assets' role in financial inclusion and cross-border payments. No specific restrictions on self-custody or individual P2P trading. Lower civil society risk than most peers in the region.","Legal; no specific restrictions on self-custody; central bank notes virtual assets are not legal tender","Legal; individual P2P trading legal; exchange-based trading requires licensed platform","Legal - regulated","Yes - AML/CFT and consumer protection obligations","Virtual Assets Act 2022 enacted June 2023; one of the earliest comprehensive crypto frameworks in Sub-Saharan Africa; regulatory authority being established to license VASPs","Required - VASP licensing by regulatory authority being established; penalties up to N$10 million or 10 years imprisonment for unlicensed operation","No specific crypto tax framework documented; general tax principles apply","Virtual Assets Act 2022 (enacted June 2023); Bank of Namibia public guidance","Regulatory authority being established. Licensed exchange ecosystem developing.","Southern Africa","2026-06","https://techcabal.com/2023/07/26/namibia-crypto-law/; https://shuftipro.com/news/namibia-enhances-its-national-crypto-strategy-with-new-legislation/"
SI-001,Nigeria,Medium,"Investments and Securities Act 2025 gives SEC power to place liens on assets and freeze accounts. From January 2026, every exchange transaction is permanently mapped to a national identity number, creating a surveillance architecture that profiles civil society actors based on financial activity. Banks still inconsistently block accounts linked to crypto. For civil society, P2P acquisition through platforms like Hodl Hodl remains the lower-risk path avoiding identity links through licensed exchanges. The NIN/TIN requirement is the most significant civil society risk under the new framework.","Legal; all exchanges must be SEC-licensed; unregulated platforms illegal; self-custody wallets legal but transfers to/from unregistered VASPs being blocked","Legal but increasingly monitored; P2P dominant; migrating toward regulated platforms","Legal - regulated","Yes - mandatory KYC/AML; NIN and TIN integration mandatory for all exchange users from January 2026; real-time transaction monitoring by FIRS","Digital assets classified as securities under SEC oversight; ISA 2025 removes prior ambiguity","Required - SEC VASP licence; NGN 500 million capital requirement; Virtual Assets Regulation Authority (VARA) established","Capital gains tax up to 25% from 2026; all transactions mapped to NIN/TIN creating real-time surveillance by state revenue authority","Investments and Securities Act 2025; Nigeria Tax Administration Act 2025; Money Laundering (Prevention and Prohibition) Act 2022; CBN VASP Guidelines","Enforcement inconsistent. Binance executives detained in 2024. VARA operational from 2026.","West Africa","2026-06","https://sec.gov.ng/documents/1319/Investments_and_Securities_Act_2025_x9rSXtI.pdf; https://sec.gov.ng/documents/1427/CIRCULAR_Number_26-1._Minimum_Capital_Requirements.pdf"
SI-008,Rwanda,Medium-High,"Rwanda enacted Law No. 023/2026 on 25 May 2026 - the most comprehensive virtual asset framework in East Africa. The law bans mixing services and crypto ATMs, requires the Travel Rule, restricts virtual assets as means of payment, and brings all VASP activity under CMA licensing. Rwanda prohibited civil society organisations from receiving funds from Belgian institutions in 2025. Pegasus spyware documented as deployed against Rwandan civil society and opposition figures. The law's prohibition on mixing services eliminates a key privacy tool for high-risk users. The combination of enacted comprehensive regulation, foreign funding restrictions, and documented surveillance warrants elevated monitoring for civil society.","Legal currently; mixing services and Bitcoin ATMs explicitly banned under new law","Legal; law focuses on intermediaries and licensed entities; individual P2P trading not explicitly addressed; virtual assets not permitted as legal tender or general means of payment without NBR authorisation","Legal - newly regulated","Yes - comprehensive AML/CFT framework; FATF Travel Rule compliance required; KYC and transaction monitoring mandatory","Law No. 023/2026 of 25 May 2026 regulating virtual asset business published; CMA designated as lead regulator; NBR retains oversight over payment system intersections; dual regulator model","Required - CMA licensing mandatory for VASPs; natural persons cannot conduct virtual asset business; only licensed legal entities permitted; ATMs and mixing/tumbling services prohibited","General tax principles apply; implementing regulations pending","Law No. 023/2026 of 25/05/2026 regulating virtual asset business; CMA and NBR implementing regulations pending; prior NBR guidance restricting bank facilitation of crypto","Law enacted May 2026. CMA designated as lead regulator. Implementing regulations forthcoming. Mixing services and ATMs prohibited.","East Africa","2026-07","https://allafrica.com/stories/202606290110.html; https://rw.andersen.com/dist/virtual-assets.html"
SI-016,Seychelles,Low-Medium,"Seychelles has a formal VASP framework in place. Critically the prohibition on mixing services eliminates a key privacy tool. The prohibition on individuals providing VASP services means only licensed companies can operate exchanges or custodial services. No documented incidents of financial repression targeting civil society through crypto mechanisms. Seychelles is frequently used as a jurisdiction of incorporation for crypto companies with limited impact on Sub-Saharan civil society users directly.","Legal; no specific restrictions on self-custody; mixing services prohibited","Legal; individual P2P trading legal; platforms must be licensed","Legal - regulated","Yes - AML/CFT obligations","VASP Act in force; VASP framework established; certain activities prohibited including use of mixing services to anonymise crypto assets and virtual asset services provided by individuals","Required - VASP licence; individual natural persons prohibited from providing virtual asset services","General tax principles apply","VASP Act (Seychelles); mixing service prohibition","Licensed exchanges only. Mixing services criminalized.","East Africa (Indian Ocean)","2026-06","https://charltonsquantum.com/wp-content/uploads/docs/seychelles-crypto-guide.pdf"
